Rider_ID,Rider_Name,Gender,Age,Experience_Years,Vehicle_Type,Average_Speed_kmph,Reliability,Courtesy_Score,Home_Store,Hidden_Slow_Rider,Hidden_Star_Rider
R00131,Sourabh,Male,31,8,Electric Scooter,34.1,0.895,4.45,DS10,False,False
R00132,Karan,Male,37,9,Bicycle,15.7,0.916,3.3,DS30,False,False
R00133,Sourabh,Male,19,4,Electric Scooter,29.3,0.932,3.57,DS08,False,False
R00134,Aman,Female,19,4,Electric Scooter,34.3,0.916,3.55,DS19,False,False
R00135,Deepak,Male,24,2,Scooter,24.5,0.891,4.48,DS02,False,False
R00136,Mohit,Male,24,9,Scooter,23.6,0.889,3.54,DS13,False,False
R00137,Sachin,Male,26,4,Scooter,23.7,0.881,4.08,DS24,False,False
R00138,Vikas,Male,21,0,Scooter,22.4,0.897,3.6,DS24,False,False
R00139,Manoj,Male,23,7,Scooter,27.6,0.911,4.15,DS21,False,False
R00140,Rohit,Male,41,0,Bicycle,16.1,0.828,4.17,DS16,False,False
R00141,Arjun,Male,29,3,Scooter,30.8,0.908,4.26,DS29,False,False
R00142,Aman,Male,35,7,Electric Scooter,31.4,0.922,3.7,DS10,False,False
R00143,Sandeep,Male,34,3,Scooter,28.7,0.934,4.77,DS21,False,False
R00144,Pankaj,Male,41,3,Scooter,25.3,0.964,3.21,DS01,False,False
R00145,Sandeep,Male,28,0,Scooter,27.9,0.928,4.13,DS20,False,False
R00146,Yash,Female,44,0,Scooter,29.759999999999998,0.99,4.44,DS25,False,True
R00147,Rakesh,Male,24,7,Scooter,28.6,0.99,3.89,DS25,False,False
R00148,Manoj,Male,31,0,Scooter,22.8,0.879,3.83,DS24,False,False
R00149,Abhishek,Female,41,10,Electric Scooter,31.0,0.986,4.33,DS22,False,False
R00150,Sachin,Male,32,4,Scooter,24.5,0.918,4.24,DS13,False,False
R00151,Deepak,Male,27,9,Electric Scooter,32.5,0.961,4.33,DS28,False,False
R00152,Vikas,Male,35,2,Scooter,25.0,0.834,4.09,DS11,False,False
R00153,Pankaj,Female,42,0,Scooter,25.6,0.885,4.03,DS03,False,False
R00154,Ajay,Female,20,9,Scooter,21.5,0.871,4.65,DS01,False,False
R00155,Mohit,Male,36,0,Scooter,24.9,0.876,4.33,DS15,False,False
R00156,Rohit,Male,29,1,Scooter,18.4,0.879,3.68,DS16,False,False
R00157,Vikas,Male,27,6,Scooter,21.5,0.911,3.85,DS25,False,False
R00158,Aman,Male,37,1,Electric Scooter,29.6,0.859,5.0,DS10,False,False
R00159,Vikas,Male,28,1,Scooter,25.3,0.914,4.07,DS13,False,False
R00160,Arjun,Male,22,1,Scooter,26.9,0.922,3.82,DS01,False,False
R00161,Amit,Male,31,1,Electric Scooter,32.2,0.899,3.59,DS18,False,False
R00162,Sandeep,Male,24,1,Bicycle,14.0,0.892,3.74,DS30,False,False
R00163,Manoj,Male,20,3,Scooter,21.8,0.868,3.77,DS26,False,False
R00164,Ajay,Male,33,10,Scooter,23.8,0.91,3.93,DS26,False,False
R00165,Sandeep,Female,27,8,Bicycle,16.0,0.93,3.72,DS15,False,False
R00166,Sandeep,Male,31,0,Scooter,25.8,0.889,3.42,DS16,False,False
R00167,Abhishek,Male,35,10,Scooter,29.8,0.954,4.12,DS15,False,False
R00168,Amit,Male,36,8,Scooter,22.6,0.929,3.22,DS30,False,False
R00169,Mohit,Male,41,10,Bicycle,16.2,0.984,3.93,DS16,False,False
R00170,Abhishek,Male,37,4,Electric Scooter,35.6,0.932,4.36,DS23,False,False
R00171,Aman,Male,31,3,Bicycle,13.3,0.938,4.13,DS10,False,False
R00172,Rakesh,Male,30,2,Scooter,27.7,0.962,3.37,DS28,False,False
R00173,Nitin,Male,35,9,Bicycle,17.9,0.934,3.95,DS26,False,False
R00174,Deepak,Female,24,2,Bicycle,17.3,0.895,4.17,DS18,False,False
R00175,Sachin,Male,31,0,Scooter,25.5,0.879,3.53,DS15,False,False
R00176,Abhishek,Male,26,0,Scooter,20.7,0.93,4.73,DS10,False,False
R00177,Rakesh,Male,28,4,Bicycle,15.3,0.903,4.05,DS17,False,False
R00178,Aman,Male,32,5,Bicycle,16.7,0.946,4.0,DS01,False,False
R00179,Harish,Male,20,9,Scooter,32.6,0.962,4.62,DS11,False,False
R00180,Vikas,Male,43,9,Scooter,24.8,0.99,3.7,DS15,False,False
R00181,Rahul,Male,20,5,Scooter,19.7,0.913,3.82,DS06,False,False
R00182,Pankaj,Male,35,5,Scooter,22.3,0.933,4.44,DS06,False,False
R00183,Manoj,Male,37,1,Scooter,26.0,0.939,4.0,DS07,False,False
R00184,Manoj,Male,36,0,Scooter,23.6,0.814,3.61,DS30,False,False
R00185,Abhishek,Male,31,3,Bicycle,12.0,0.944,3.9,DS03,False,False
R00186,Manoj,Male,32,7,Bicycle,18.1,0.918,4.51,DS28,False,False
R00187,Sourabh,Male,43,7,Scooter,29.5,0.97,3.69,DS06,False,False
R00188,Karan,Male,27,8,Bicycle,19.0,0.93,3.64,DS25,False,False
R00189,Amit,Male,42,10,Bicycle,15.5,0.862,3.93,DS25,False,False
R00190,Vikas,Male,23,1,Scooter,24.0,0.971,3.95,DS05,False,False
R00191,Nitin,Male,37,10,Scooter,31.9,0.957,4.28,DS04,False,False
R00192,Rohit,Male,21,6,Scooter,21.6,0.99,4.14,DS12,False,False
R00193,Deepak,Male,43,1,Scooter,25.3,0.917,3.65,DS02,False,False
R00194,Sachin,Male,26,1,Bicycle,11.9,0.869,3.68,DS28,False,False
R00195,Yash,Female,28,0,Bicycle,13.56,0.99,3.69,DS25,False,True
R00196,Ajay,Female,22,9,Electric Scooter,29.2,0.913,3.51,DS04,False,False
R00197,Sachin,Male,38,9,Bicycle,17.0,0.964,4.14,DS20,False,False
R00198,Sachin,Male,37,5,Bicycle,17.9,0.932,4.13,DS20,False,False
R00199,Amit,Male,28,1,Electric Scooter,20.475,0.7312000000000001,4.48,DS08,True,False
R00200,Abhishek,Male,43,0,Scooter,21.9,0.944,4.12,DS20,False,False
R00201,Vikas,Male,34,7,Electric Scooter,29.1,0.935,3.67,DS29,False,False
R00202,Abhishek,Male,28,4,Scooter,24.5,0.915,3.95,DS25,False,False
R00203,Pankaj,Male,34,7,Scooter,24.3,0.901,4.62,DS10,False,False
R00204,Sandeep,Male,42,8,Scooter,26.6,0.956,3.94,DS20,False,False
R00205,Abhishek,Male,36,5,Bicycle,14.3,0.908,4.13,DS25,False,False
R00206,Vikas,Male,25,2,Scooter,27.1,0.877,4.03,DS25,False,False
R00207,Amit,Female,25,2,Scooter,27.7,0.83,4.3,DS06,False,False
R00208,Vikas,Male,45,0,Bicycle,17.4,0.924,4.5,DS13,False,False
R00209,Ajay,Male,43,6,Scooter,21.3,0.924,3.95,DS08,False,False
R00210,Abhishek,Female,35,6,Bicycle,18.7,0.904,5.0,DS26,False,False
R00211,Nitin,Male,21,5,Electric Scooter,28.0,0.897,4.14,DS09,False,False
R00212,Sachin,Male,43,7,Bicycle,16.4,0.907,4.25,DS23,False,False
R00213,Mohit,Male,29,7,Bicycle,15.5,0.89,3.78,DS17,False,False
R00214,Karan,Male,20,0,Electric Scooter,24.9,0.917,4.23,DS03,False,False
R00215,Arjun,Male,25,5,Scooter,22.8,0.909,3.66,DS23,False,False
R00216,Amit,Male,27,8,Electric Scooter,30.1,0.935,3.84,DS28,False,False
R00217,Yash,Male,37,5,Electric Scooter,32.4,0.871,4.69,DS24,False,False
R00218,Deepak,Male,27,2,Electric Scooter,31.2,0.847,4.25,DS29,False,False
R00219,Aman,Male,45,7,Scooter,24.6,0.921,4.06,DS16,False,False
R00220,Harish,Female,45,4,Bicycle,14.5,0.924,4.67,DS15,False,False
R00221,Abhishek,Male,20,2,Electric Scooter,24.4,0.953,3.59,DS30,False,False
R00222,Karan,Male,19,10,Bicycle,16.4,0.969,3.65,DS14,False,False
R00223,Ajay,Male,28,10,Scooter,23.5,0.981,4.18,DS03,False,False
R00224,Sachin,Male,45,6,Scooter,20.2,0.927,3.6,DS23,False,False
R00225,Manoj,Female,33,0,Scooter,27.4,0.89,4.0,DS18,False,False
R00226,Manoj,Male,28,8,Bicycle,15.7,0.962,4.22,DS29,False,False
R00227,Karan,Male,29,8,Scooter,22.0,0.957,4.7,DS16,False,False
R00228,Deepak,Male,19,5,Bicycle,17.3,0.976,3.97,DS14,False,False
R00229,Harish,Male,24,3,Scooter,20.0,0.889,4.19,DS11,False,False
R00230,Sourabh,Male,44,6,Scooter,25.1,0.976,4.14,DS06,False,False
R00231,Arjun,Male,24,5,Bicycle,17.1,0.892,3.98,DS09,False,False
R00232,Rohit,Male,41,9,Scooter,23.1,0.988,3.95,DS11,False,False
R00233,Yash,Male,31,2,Scooter,34.68,0.99,3.83,DS20,False,True
R00234,Sachin,Male,45,3,Scooter,23.0,0.908,4.07,DS20,False,False
R00235,Rahul,Female,23,1,Scooter,25.8,0.941,3.78,DS18,False,False
R00236,Rakesh,Male,38,8,Scooter,36.3,0.948,4.38,DS19,False,False
R00237,Pankaj,Female,37,4,Scooter,23.6,0.943,3.86,DS09,False,False
R00238,Ajay,Male,34,2,Electric Scooter,23.1,0.878,4.47,DS18,False,False
R00239,Arjun,Male,36,10,Bicycle,21.6,0.883,3.92,DS15,False,False
R00240,Ajay,Male,37,1,Scooter,29.2,0.916,4.36,DS10,False,False
R00241,Yash,Male,39,6,Scooter,26.3,0.895,3.75,DS09,False,False
R00242,Sourabh,Male,44,7,Electric Scooter,28.1,0.981,4.44,DS20,False,False
R00243,Nitin,Male,45,8,Scooter,24.4,0.945,3.67,DS16,False,False
R00244,Pankaj,Male,21,1,Electric Scooter,27.4,0.868,3.38,DS07,False,False
R00245,Rakesh,Male,20,4,Scooter,28.3,0.899,4.0,DS13,False,False
R00246,Sachin,Male,36,5,Electric Scooter,33.3,0.894,4.36,DS19,False,False
R00247,Nitin,Male,36,2,Bicycle,12.8,0.883,4.15,DS09,False,False
R00248,Amit,Male,45,9,Scooter,24.3,0.978,4.7,DS12,False,False
R00249,Manoj,Male,30,4,Bicycle,7.54,0.756,3.89,DS24,True,False
R00250,Rahul,Male,30,10,Scooter,25.5,0.99,4.23,DS14,False,False
R00251,Ajay,Male,19,4,Electric Scooter,29.2,0.896,3.68,DS23,False,False
R00252,Ajay,Female,42,3,Scooter,22.3,0.951,4.48,DS10,False,False
R00253,Vikas,Male,30,3,Scooter,22.4,0.917,3.55,DS10,False,False
R00254,Rakesh,Female,35,0,Electric Scooter,25.2,0.93,4.37,DS10,False,False
R00255,Ajay,Male,21,8,Scooter,26.8,0.95,4.01,DS18,False,False
R00256,Ajay,Male,22,10,Bicycle,16.5,0.978,3.82,DS04,False,False
R00257,Ajay,Male,21,10,Bicycle,17.3,0.937,3.79,DS08,False,False
R00258,Arjun,Male,31,8,Scooter,24.3,0.944,3.4,DS01,False,False
R00259,Sandeep,Male,38,1,Electric Scooter,26.4,0.915,4.19,DS01,False,False
R00260,Karan,Male,45,9,Electric Scooter,28.2,0.981,3.74,DS27,False,False
R00261,Vikas,Male,19,1,Bicycle,17.5,0.853,4.24,DS16,False,False
R00262,Ajay,Male,38,0,Electric Scooter,26.9,0.842,3.66,DS27,False,False
R00263,Rahul,Male,25,0,Scooter,21.5,0.893,4.36,DS29,False,False
R00264,Mohit,Male,33,4,Electric Scooter,28.0,0.87,4.65,DS06,False,False
R00265,Abhishek,Female,29,0,Electric Scooter,22.8,0.933,3.97,DS30,False,False
R00266,Mohit,Male,28,8,Scooter,28.8,0.975,4.12,DS28,False,False
R00267,Pankaj,Male,42,3,Bicycle,15.2,0.839,4.7,DS25,False,False
R00268,Sourabh,Male,26,3,Bicycle,17.9,0.896,3.95,DS21,False,False
R00269,Arjun,Male,34,0,Scooter,23.9,0.916,4.13,DS25,False,False
R00270,Rahul,Male,39,3,Scooter,31.3,0.916,3.64,DS24,False,False
R00271,Mohit,Male,32,6,Scooter,21.7,0.896,3.94,DS03,False,False
R00272,Deepak,Female,43,2,Scooter,28.7,0.933,3.88,DS03,False,False
R00273,Mohit,Male,22,1,Electric Scooter,19.3,0.925,4.09,DS22,False,False
R00274,Karan,Female,25,9,Scooter,25.4,0.954,3.68,DS08,False,False
R00275,Sachin,Male,25,8,Bicycle,16.7,0.912,3.83,DS15,False,False
R00276,Ajay,Male,33,8,Scooter,28.6,0.99,4.15,DS03,False,False
R00277,Mohit,Male,34,4,Electric Scooter,28.5,0.898,4.02,DS02,False,False
R00278,Ajay,Female,37,4,Bicycle,13.0,0.863,4.09,DS01,False,False
R00279,Vikas,Female,37,2,Scooter,26.5,0.911,4.42,DS28,False,False
R00280,Sachin,Male,39,7,Electric Scooter,29.9,0.847,4.3,DS08,False,False
R00281,Nitin,Male,45,1,Scooter,23.5,0.887,3.46,DS16,False,False
R00282,Aman,Male,34,1,Electric Scooter,33.5,0.887,3.61,DS16,False,False
R00283,Sachin,Male,28,0,Scooter,26.2,0.916,4.12,DS25,False,False
R00284,Rakesh,Male,34,5,Scooter,21.7,0.946,4.44,DS12,False,False
R00285,Ajay,Male,34,3,Scooter,16.3,0.887,4.45,DS22,False,False
R00286,Pankaj,Male,43,3,Scooter,21.5,0.901,4.55,DS04,False,False
R00287,Arjun,Male,38,3,Electric Scooter,29.8,0.919,4.26,DS09,False,False
R00288,Rahul,Male,37,5,Electric Scooter,34.6,0.978,3.06,DS08,False,False
R00289,Vikas,Male,21,10,Scooter,26.0,0.972,3.78,DS26,False,False
R00290,Ajay,Male,44,7,Scooter,23.1,0.985,4.01,DS10,False,False
R00291,Aman,Male,41,4,Scooter,27.9,0.888,3.96,DS01,False,False
R00292,Nitin,Male,31,4,Scooter,24.7,0.916,3.98,DS04,False,False
R00293,Ajay,Male,37,6,Bicycle,14.6,0.879,4.21,DS13,False,False
R00294,Aman,Male,36,8,Bicycle,16.8,0.888,3.34,DS04,False,False
R00295,Aman,Female,22,2,Electric Scooter,32.8,0.892,4.61,DS21,False,False
R00296,Vikas,Female,39,3,Scooter,22.8,0.91,3.78,DS24,False,False
R00297,Pankaj,Male,35,1,Scooter,18.5,0.935,4.17,DS22,False,False
R00298,Pankaj,Male,23,4,Scooter,32.7,0.92,4.0,DS22,False,False
R00299,Aman,Male,24,2,Electric Scooter,16.25,0.7856000000000001,3.26,DS27,True,False
R00300,Nitin,Male,33,9,Electric Scooter,28.1,0.954,3.59,DS03,False,False
R00301,Nitin,Female,33,5,Bicycle,17.1,0.955,3.94,DS06,False,False
R00302,Sachin,Male,45,4,Scooter,20.0,0.95,4.49,DS07,False,False
R00303,Rakesh,Male,23,1,Scooter,25.3,0.897,4.12,DS30,False,False
R00304,Abhishek,Male,45,1,Scooter,23.6,0.971,4.36,DS04,False,False
R00305,Mohit,Male,29,7,Scooter,27.9,0.919,4.17,DS19,False,False
R00306,Nitin,Male,38,5,Bicycle,17.9,0.937,3.47,DS01,False,False
R00307,Pankaj,Male,26,10,Scooter,26.639999999999997,0.99,3.75,DS14,False,True
R00308,Nitin,Female,26,9,Bicycle,18.6,0.94,4.64,DS19,False,False
R00309,Rohit,Male,45,1,Scooter,21.6,0.889,3.96,DS30,False,False
R00310,Sachin,Male,42,0,Bicycle,13.4,0.84,4.28,DS20,False,False
R00311,Pankaj,Male,22,3,Bicycle,12.2,0.847,4.33,DS07,False,False
R00312,Rahul,Female,21,2,Scooter,26.8,0.899,4.22,DS02,False,False
R00313,Pankaj,Male,27,7,Scooter,28.6,0.901,3.87,DS14,False,False
R00314,Mohit,Female,33,9,Electric Scooter,29.4,0.943,4.26,DS25,False,False
R00315,Rohit,Male,39,10,Scooter,30.0,0.99,3.77,DS14,False,False
R00316,Sourabh,Male,27,8,Electric Scooter,28.7,0.893,4.15,DS12,False,False
R00317,Rahul,Male,29,2,Electric Scooter,28.1,0.967,4.37,DS30,False,False
R00318,Mohit,Male,27,9,Scooter,24.8,0.974,3.87,DS11,False,False
R00319,Sachin,Male,41,7,Scooter,27.2,0.86,4.01,DS15,False,False
R00320,Nitin,Female,22,7,Scooter,22.8,0.953,3.86,DS24,False,False
R00321,Amit,Male,40,0,Scooter,22.2,0.9,3.99,DS11,False,False
R00322,Pankaj,Male,40,9,Scooter,26.4,0.99,4.67,DS10,False,False
R00323,Ajay,Male,37,9,Electric Scooter,29.6,0.99,3.59,DS26,False,False
R00324,Nitin,Female,33,1,Electric Scooter,33.1,0.924,4.12,DS08,False,False
R00325,Rahul,Male,41,1,Scooter,24.6,0.931,4.31,DS28,False,False
R00326,Sourabh,Male,35,10,Scooter,18.785,0.792,3.82,DS25,True,False
R00327,Harish,Male,41,5,Scooter,31.799999999999997,0.99,3.79,DS05,False,True
R00328,Arjun,Male,22,5,Scooter,26.3,0.934,4.13,DS16,False,False
